brand,recommended_artist,artist_persona,artist_past_endorsement,recommendation_reason,similar_artist
舒跑S,yellow黃宣,黃宣（YELLOW）是台灣的一位創作男歌手、音樂製作人和演員。他以強烈的個人風格和表演魅力著稱。黃宣的個性是外向、愛現、表演慾強，擁有快速清晰的語速和強烈的風格。他害怕無聊，喜歡熱鬧，常與其他歌手合作。黃宣的形象充滿自信和幽默，尤其在主持紅毯時展現出色。他的人格特質是聰明機智，總是保持活潑的氣氛。,"crashbaggage, puma",黃宣適合代言舒跑的原因有二：一是他具有音樂鬼才與新世代偶像的形象，能夠吸引年輕族群；二是他常參與街舞等運動，與舒跑的運動補水功能相契合，能讓產品與其個人特質建立連結。,"陳勢安,陳零九,盧廣仲,鼓鼓呂思緯 "
舒跑S,韋禮安,韋禮安是一位臺灣創作歌手，出生於1987年3月5日。他的個性以創作力強、內省為主，常以真摯的情感表達創作歌曲。形象上，他給人以溫和、低調的印象，注重音樂本身。人格特質方面，韋禮安勤奮且堅持自己的音樂理念，曾獲得多項音樂獎項，如金曲獎最佳新人獎和最佳作曲人獎。,"citizen,edifier,基督教救助協會,蔡司,霓淨思","強調「清爽」與「補給」： 韋禮安曾代言過其他以「清爽」為賣點的飲料品牌。他清爽、無負擔的個人形象，能有效傳達舒跑S在運動補給之外，也能帶來清爽暢快的飲用體驗。
代言可信度高： 韋禮安的正面形象和良好口碑，能提高消費者對產品的信任度。當他推薦舒跑S時，消費者會更願意相信產品的功效與品質，進而影響購買意願。","鼓鼓呂思緯,林宥嘉,陳勢安,瘦子e.so"
舒跑S,江宏傑,江宏傑是一位台灣桌球選手，曾獲得多項國際賽事冠軍，如2009年世界大學運動會桌球混合雙打和男子單打金牌。他在國際桌壇上逐漸打出名聲，具有穩定的球技和不斷進步的精神。江宏傑的個性和形象以勤奮和堅韌著稱，能在逆境中找到突破點。他的人格特質包括毅力和適應能力，能在不同環境中發揮出色。,"台灣運動產業博覽會,美舒律","桌球國手經歷： 江宏傑曾是台灣的奧運桌球國手，長年的專業訓練讓他深知運動員對於水分與電解質補充的需求，能夠為舒跑S的補給功能提供專業背書，增加消費者信賴感。
「全力以赴」的精神： 舒跑S近年主打「全力以赴，你會很酷」的口號。江宏傑從桌球選手到領隊，甚至經歷過人生低谷後東山再起，其堅持不懈、全力以赴的運動員精神，與品牌理念高度契合。","林柏宏,陳漢典,李友廷"
舒跑S,陳漢典,陳漢典是一位台灣演員、主持人和喜劇演員，生於1984年7月6日。他以模仿和搞笑表演聞名，曾在多個綜藝節目中擔任綠葉角色。陳漢典的個性開朗，擅長模仿，具有強大的抗壓能力和正向思考。他在演藝圈中扮演多種角色，但在真實生活中顯得較為內向。他的家庭環境和正向思考觀念對他的心理素質有重要影響。,"久光製藥,流浪方舟,斬妖,撒隆巴斯",他憑藉著獨特的個人風格、近年來在演藝事業上的突破，以及持續不懈的努力，能為品牌帶來意想不到的差異化宣傳效果。,"邰智源,玖壹壹,張立東,無尊"
舒跑S,瘦子e.so,瘦子E.SO（本名陳昱榕）是臺灣的饒舌歌手與演員，出生於1987年9月30日。他以頑童MJ116成員身分活躍於音樂圈。瘦子個性直率，常以真實態度表達自己。他的形象充滿霸氣與真誠感，尤其在家庭生活中展現出溫柔的一面。他保護家人，特別是妻子與女兒，展現出責任感與愛心。,"citiesocial,hp,omega,puma,shareco,米克邦,歐肯",瘦子E.so適合代言舒跑S的原因，主要在於其「不設限、忠於自我」的態度，與品牌訴求的「全力以赴」精神不謀而合。他從嘻哈歌手到跨足綜藝、電影，持續挑戰自我；加上他長期健身、維持體態，其健康、自律的形象，能說服年輕族群信賴產品的運動補給效果。他的潮流與自信魅力，也能為品牌注入新潮感，吸引更廣泛的年輕消費者。,"鼓鼓呂思緯,韋禮安,許光漢,周湯豪"
舒跑S,劉冠廷,劉冠廷是一位臺灣新生代男演員，出生於1988年11月11日。他在國立臺灣藝術大學戲劇學系畢業後，曾擔任體育老師，後參加「Q Place表演教室」課程訓練，逐漸在影視圈嶄露頭角。劉冠廷以其細膩的演技和多變的角色詮釋而聞名，曾獲得多項獎項，如金鐘獎和金馬獎最佳男配角。他個性勤奮，對演技有深厚的熱情和投入。在《火神的眼泪》中，他飾演的林義陽角色展現了他對角色深入理解和詮釋的能力。,"小林眼鏡,白蘭氏,春水堂",他樸實、認真、不矯揉造作的形象，能展現出運動後真實補給的必要性，而非華而不實的形象包裝。劉冠廷透過戲劇作品累積的深厚群眾好感度，也能有效擴大品牌受眾，傳遞「努力後必有收穫」的理念，與舒跑S「全力以赴」的品牌精神完美契合。,"鳳小岳,陳零九,趙又廷"
舒跑S,陳勢安,陳勢安是一位來自馬來西亞的男歌手，出生於1984年。他自稱為「音樂雜食性動物」，被譽為「情歌王子」和「K歌歌王」。他個性不服輸，對音樂充滿熱情，擁有厚實的聲線和高辨識度。陳勢安的形象以實驗性音樂風格為特點，常融合多種音樂元素。他的人格特質包括虛心學習和堅毅不屈的精神，對音樂創作充滿熱誠。,hbl高中籃球聯賽,陳勢安長期投入健身，練就精實體態，其健康、自律的形象與舒跑S的運動補給功能完美契合。他的音樂事業歷經起伏，卻始終保持熱忱，這份「全力以赴、堅持不懈」的勵志精神，呼應品牌強調的「你會很酷」態度。此外，他近年展現更多元樣貌，能吸引更廣泛的消費群，而其獨特的「情歌王子」魅力，更可為品牌增添親和力與話題性。,"yellow黃宣,陳零九,李友廷,邱鋒澤"
舒跑S,林昀儒,林昀儒是中華民國的桌球運動員，出生於臺灣宜蘭縣，最高單打世界排名第五。他以冷靜、合理的打球風格著稱，性格低調，表情不多，但進攻時毫不含糊。他被稱為「沉默殺手」，因其在球場上從不大喊大叫，保持穩定的心理素質。林昀儒的成就包括多次國際賽冠軍和獎牌，包括東京奧運銅牌。,杏輝醫藥集團,林昀儒沉穩內斂的「沉默殺手」形象，與舒跑S主打的「快速補水、迅速恢復」專業運動機能訴求相符。他在賽場上展現的堅毅不懈精神，正好呼應了產品幫助使用者突破極限的品牌精神，能吸引追求專業表現的年輕客群。此外，他清新的形象也具備高人氣與親和力，能有效提升產品的信賴感與好感度。,周天成
舒跑S,趙又廷,趙又廷是一位台灣、加拿大籍的男演員，出生於1984年9月25日。他以《痞子英雄》獲得第44屆金鐘獎最佳男主角而成名。趙又廷的個性以**家教良好**、**性格好**著稱，很少失態。他擁有**完美主義**和**強迫症**的一面，但在演藝圈中保持著**和諧**與**知性**的形象。趙又廷重視**家庭**和**閱讀**，並以**平和**的態度對待生活和演藝事業。,boss,趙又廷成熟、沉穩、正向的形象，與舒跑S強調的專業、可靠機能感高度契合。他健康陽光的生活態度，以及對家庭、事業的認真負責，不僅樹立了值得信賴的公眾形象，更能有效傳遞產品「全力以赴」的品牌精神。同時，他穩重不失親和力的魅力，有助於擴大產品在不同年齡層間的受眾，提升大眾對產品的信賴度與好感度。,"阮經天,柯震東"
舒跑S,林柏宏,林柏宏是一位臺灣演員、歌手和主持人，出生於臺北市。他以第53屆金馬獎最佳男配角得主而聞名。林柏宏的個性和形象在演藝圈中被認為是多才多藝且富有魅力。他曾有意成為化學老師，後因參賽被星探挖掘而踏入演藝圈。他的人格特質展現出對工作的熱情和多元化的才華。,"giorgioarmani,ray-ban,台灣世界展望會,立頓",林柏宏陽光、健康、充滿活力的形象，完美契合舒跑S強調的運動機能與活力感。他憑藉對演戲的熱情與不斷突破自我的精神，無論在事業或私下運動習慣上都展現出堅持不懈的態度，能有效傳達品牌「全力以赴」的品牌精神。同時，他自然、親民的國民男友氣質，也能拉近與消費者的距離，有效吸引廣大的年輕族群。,"韋禮安,江宏傑,林宥嘉 "
理膚寶水,田馥甄,田馥甄（Hebe Tien）是臺灣著名的女歌手與演員，出生於1983年3月30日。她是女子演唱團體S.H.E的成員之一。田馥甄以其自信、堅韌的形象和清新優美的歌聲聞名。她的個性溫暖親切，人格特質中展現出勇敢與獨立的精神。她在音樂與演藝領域獲得多項獎項，深受觀眾喜愛。田馥甄的音樂風格多樣，常以真摯的情感與獨特的詮釋方式打動聽眾。,"citizen, HOROYOI微醉,Milcolla",自然純粹、不完美但真實的形象。田馥甄坦承自己是敏感性膚質，會因換季或作息而有泛紅狀況，這讓她與理膚寶水主打的敏感肌修護產品產生真實連結。她倡導「保養不龜毛、不追求完美」的自在態度，與品牌重視溫和修護的理念契合，有效吸引追求真實、自信美的消費者。,"簡嫚書,謝欣穎,郭書瑤,徐佳瑩"
理膚寶水,柯佳嬿,柯佳嬿是一位臺灣女演員，出生於1985年1月10日。她的形象清純，常被稱為「臺灣小桂綸鎂」。她在演藝圈中以多樣化的角色展現出色表現，例如在《必娶女人》和《想見你》中榮獲金鐘獎。柯佳嬿的個性與人格特質體現在她對角色深入的理解與投入，常能在演出中展現出真摯的情感與細膩的演技,"資生堂,凡士林",柯佳嬿的氣質與理膚寶水的「純粹、溫和、修護」品牌調性高度契合。她擁有自然的膚質和高好感度，能有效傳達產品的安心感。柯佳嬿曾提及自己是敏感肌，會因換季泛紅，並認同保養應「傾聽肌膚聲音」，這份真實且不追求完美的保養觀念，使她能與許多敏感肌消費者產生共鳴，強化品牌解決肌膚問題的專業形象。她的知性與從容，也為品牌增添了信賴感。,"白家綺,桂綸鎂,邵雨薇,許瑋甯"
